City,ID
Tivoli,71537
Tokyo,72181
Toledo,170113
Toronto,62492
Torquay,83942
Toulouse,66619
Tours,66615
Tredozio,205342
Treviso,71524
Tulum,109113
Turin,71534
Ubud,68270
Ungersheim,176560
Urbino,71518
Ushuaia,60210
Utrecht,74866
Valencia,65847
Valletta,73787
Vancouver,62496
Vantaa,66489
Varenna,205179
Varese,71514
Varna,60906
Venice,71510
Veracruz,73840
Verbania,72048
Verona,71506
Victoria,62501
Vienna,60335
Vík,71390
Vilnius,73352
Viterbo,71494
Volendam,74851
Wailuku,82338
Waimanalo,1036
Wangetti,261137
Warsaw,485
"Washington, D.C.",79751
Waterford,68596
Wattens,83662
Weymouth,67236
Williamsburg,260937
Windermere,97691
Windsor,67223
Wolfsburg,64249
Yonkers,81390
Yorba Linda,82014
York,67204
Zaandam,74827
Zator,228605
Zundert,74819
